dataset,architecture,fold,transformation,method,segment_f1_response,maximum_absolute_probability_response,mean_absolute_probability_response,decoded_bins_changed,checkpoint_changed,update_difference,scaler_mean_norm_response,scaler_std_norm_response
hapt,tcn,2,mixed_materialization_sequence,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,0,clean,ordinary_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,0,one_to_many_metadata_join,ordinary_learning,-0.0087864134257691,0.2538760602474212,0.025336047475421,271,False,0,0.49713134765625,1.0248260498046875
mhealth,tcn,0,repeated_export_concatenation,ordinary_learning,0.0,0.0002309679985046,1.7661796954274965e-05,1,False,0,3.0517578125e-05,-4.57763671875e-05
mhealth,tcn,0,exploded_list_metadata,ordinary_learning,-0.031549364760149,0.4590420126914978,0.0879959873690634,1105,True,0,2.6531829833984375,2.4414596557617188
mhealth,tcn,0,heterogeneous_metadata_fanout,ordinary_learning,-0.0814919486313043,0.5775323212146759,0.0971154761681939,1101,True,0,0.5408706665039062,0.2617111206054687
mhealth,tcn,0,deterministic_row_reorder,ordinary_learning,0.0,0.0001158118247985,9.593769560925172e-06,0,False,0,0.0001296997070312,-7.62939453125e-06
mhealth,tcn,0,mixed_materialization_sequence,ordinary_learning,-0.0101091647485204,0.2461977899074554,0.0255487145132912,274,False,0,0.4978561401367187,1.0246353149414062
mhealth,tcn,0,clean,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,0,one_to_many_metadata_join,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,0,repeated_export_concatenation,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,0,exploded_list_metadata,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,0,heterogeneous_metadata_fanout,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,0,deterministic_row_reorder,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,0,mixed_materialization_sequence,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,1,clean,ordinary_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,1,one_to_many_metadata_join,ordinary_learning,-0.0036281179138321,0.0246553421020507,0.003450653611383,36,False,0,0.2510604858398437,-0.0009689331054687
mhealth,tcn,1,repeated_export_concatenation,ordinary_learning,0.0,4.166364669799805e-05,5.9879717550107415e-06,0,False,0,0.000213623046875,-0.0001983642578125
mhealth,tcn,1,exploded_list_metadata,ordinary_learning,-0.1147392290249433,0.4574384689331054,0.0655052106095744,622,True,-1,0.898590087890625,0.0092086791992187
mhealth,tcn,1,heterogeneous_metadata_fanout,ordinary_learning,-0.1147392290249433,0.5842187106609344,0.0653942542502634,628,True,-1,0.7682037353515625,0.9709625244140624
mhealth,tcn,1,deterministic_row_reorder,ordinary_learning,0.0,2.5570392608642575e-05,4.446393133895028e-06,0,False,0,6.866455078125e-05,-0.000152587890625
mhealth,tcn,1,mixed_materialization_sequence,ordinary_learning,-0.0036281179138321,0.0246498584747314,0.0034505083347626,36,False,0,0.2537994384765625,-0.0007247924804687
mhealth,tcn,1,clean,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,1,one_to_many_metadata_join,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,1,repeated_export_concatenation,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,1,exploded_list_metadata,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,1,heterogeneous_metadata_fanout,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,1,deterministic_row_reorder,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,1,mixed_materialization_sequence,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,2,clean,ordinary_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,2,one_to_many_metadata_join,ordinary_learning,-0.0047619047619047,0.0151432752609252,0.0026751866893524,17,False,0,0.4602508544921875,0.4307861328125
mhealth,tcn,2,repeated_export_concatenation,ordinary_learning,0.0,4.297494888305664e-05,7.702338668267902e-06,0,False,0,0.0001144409179687,-9.1552734375e-05
mhealth,tcn,2,exploded_list_metadata,ordinary_learning,-0.0022588522588522,0.0323042869567871,0.0072308578784009,25,False,0,-0.3095779418945312,1.3155364990234375
mhealth,tcn,2,heterogeneous_metadata_fanout,ordinary_learning,-0.2169108669108668,0.3299692869186401,0.1153370990082848,668,False,0,0.403778076171875,-0.8636627197265625
mhealth,tcn,2,deterministic_row_reorder,ordinary_learning,0.0,4.470348358154297e-05,4.677840213223201e-06,0,False,0,-6.866455078125e-05,-7.62939453125e-06
mhealth,tcn,2,mixed_materialization_sequence,ordinary_learning,-0.0047619047619047,0.015129804611206,0.0026722353252741,17,False,0,0.4629287719726562,0.43115234375
mhealth,tcn,2,clean,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,2,one_to_many_metadata_join,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,2,repeated_export_concatenation,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,2,exploded_list_metadata,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,2,heterogeneous_metadata_fanout,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,2,deterministic_row_reorder,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
mhealth,tcn,2,mixed_materialization_sequence,quotient_learning,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,0,clean,ordinary_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,0,one_to_many_metadata_join,ordinary_learning_bigru,-0.0013417227933356,0.0248748660087585,0.0012652799319139,13,False,0,0.0147922039031982,0.0056462287902832
hapt,bigru,0,repeated_export_concatenation,ordinary_learning_bigru,0.0,0.0002535581588745,1.3516335788574232e-05,1,False,0,-4.291534423828125e-06,-5.7220458984375e-05
hapt,bigru,0,exploded_list_metadata,ordinary_learning_bigru,-0.0032051282051281,0.023677259683609,0.0010524769882878,9,False,0,0.0014607906341552,-0.010404348373413
hapt,bigru,0,heterogeneous_metadata_fanout,ordinary_learning_bigru,-0.0921199625274576,0.2572112679481506,0.0148733233648203,180,False,0,-0.0042281150817871,0.0077340602874755
hapt,bigru,0,deterministic_row_reorder,ordinary_learning_bigru,0.0,0.000190258026123,8.614084657851505e-06,0,False,0,-3.814697265625e-06,2.86102294921875e-06
hapt,bigru,0,mixed_materialization_sequence,ordinary_learning_bigru,-0.0013417227933356,0.0243667662143707,0.001267543573893,14,False,0,0.0147724151611328,0.0054495334625244
hapt,bigru,0,clean,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,0,one_to_many_metadata_join,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,0,repeated_export_concatenation,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,0,exploded_list_metadata,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,0,heterogeneous_metadata_fanout,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,0,deterministic_row_reorder,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,0,mixed_materialization_sequence,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,1,clean,ordinary_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,1,one_to_many_metadata_join,ordinary_learning_bigru,-0.0032025395970746,0.0188948810100555,0.0015693437427307,8,False,0,-0.0186812877655029,0.0001220703125
hapt,bigru,1,repeated_export_concatenation,ordinary_learning_bigru,0.0,0.0002222061157226,1.2098485681689983e-05,0,False,0,-1.1920928955078125e-06,-6.103515625e-05
hapt,bigru,1,exploded_list_metadata,ordinary_learning_bigru,0.0154479250054024,0.0402745306491851,0.0027961963486349,28,False,0,0.0295877456665039,0.02911376953125
hapt,bigru,1,heterogeneous_metadata_fanout,ordinary_learning_bigru,-0.0395443943367621,0.2242276072502136,0.0163139561488638,231,False,0,0.0099928379058837,-0.0051991939544677
hapt,bigru,1,deterministic_row_reorder,ordinary_learning_bigru,0.0,0.0001088976860046,7.648017872285617e-06,0,False,0,-5.245208740234375e-06,-7.152557373046875e-07
hapt,bigru,1,mixed_materialization_sequence,ordinary_learning_bigru,-0.0032025395970746,0.0190626084804534,0.001556758490017,8,False,0,-0.0185778141021728,-5.435943603515625e-05
hapt,bigru,1,clean,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,1,one_to_many_metadata_join,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,1,repeated_export_concatenation,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,1,exploded_list_metadata,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,1,heterogeneous_metadata_fanout,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,1,deterministic_row_reorder,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,1,mixed_materialization_sequence,quotient_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,2,clean,ordinary_learning_bigru,0.0,0.0,0.0,0,False,0,0.0,0.0
hapt,bigru,2,one_to_many_metadata_join,ordinary_learning_bigru,-0.0016416916416916,0.0091668963432312,0.0007332928536004,10,False,0,-0.0070240497589111,-0.011603832244873
hapt,bigru,2,repeated_export_concatenation,ordinary_learning_bigru,0.0,0.000334084033966,1.6739115448796356e-05,0,False,0,3.814697265625e-06,-6.365776062011719e-05
hapt,bigru,2,exploded_list_metadata,ordinary_learning_bigru,0.0199334875650665,0.0147728025913238,0.001045705718346,18,False,0,0.0204989910125732,-0.0108609199523925
