dataset,display,dataset_role,independent_groups,typed_clean_f1,quotient_clean_f1,clean_quotient_minus_typed_f1,typed_materialized_f1,quotient_materialized_f1,typed_signed_response,quotient_signed_response,absolute_stability_advantage,clean_compilation
hapt,HAPT,Benchmark,30,0.8308291475938182,0.8308291475938182,0.0,0.7370484210873788,0.8308291475938182,-0.09378072650643943,0.0,0.09378072650643943,no-op
mhealth,MHEALTH,Benchmark,10,0.2638657931351168,0.2638657931351168,0.0,0.1515412541603017,0.2638657931351168,-0.11232453897481512,0.0,0.11232453897481512,no-op
synthetic,Synthetic,Benchmark,30,0.2628944288338208,0.2628944288338208,0.0,0.2428813300443202,0.2628944288338208,-0.02001309878950061,0.0,0.02001309878950061,no-op
daphnet,Daphnet,Benchmark,10,0.0393489404802065,0.0393489404802065,0.0,0.0125684269546869,0.0393489404802065,-0.0267805135255196,0.0,0.0267805135255196,no-op
harth,HARTH,Benchmark,22,0.3472214992240486,0.3472214992240486,0.0,0.2446330672720951,0.3472214992240486,-0.1025884319519535,0.0,0.1025884319519535,no-op
har70,HAR70+,Benchmark,18,0.4785046239999042,0.4785046239999042,0.0,0.4823211450034079,0.4785046239999042,0.0038165210035037145,0.0,0.0038165210035037145,no-op
ppg_dalia,PPG-DaLiA,Held-out,15,0.3679042081260863,0.3679042081260863,0.0,0.1394508106272812,0.3679042081260863,-0.2284533974988051,0.0,0.2284533974988051,no-op
